p, res
9.180000, 14.403298
9.190000, 14.505229
9.200000, 14.607234
9.210000, 14.709306
9.220000, 14.811435
9.230000, 14.913615
9.240000, 15.015838
9.250000, 15.118095
9.260000, 15.220379
9.270000, 15.322681
9.280000, 15.424992
9.290000, 15.527305
9.300000, 15.629612
9.310000, 15.731902
9.320000, 15.834169
9.330000, 15.936403
9.340000, 16.038595
9.350000, 16.140737
9.360000, 16.242820
9.370000, 16.344834
9.380000, 16.446770
9.390000, 16.548620
9.400000, 16.650374
9.410000, 16.752022
9.420000, 16.853555
9.430000, 16.954964
9.440000, 17.056239
9.450000, 17.157370
9.460000, 17.258347
9.470000, 17.359161
9.480000, 17.459802
9.490000, 17.560259
9.500000, 17.660523
9.510000, 17.760583
9.520000, 17.860428
9.530000, 17.960050
9.540000, 18.059436
9.550000, 18.158577
9.560000, 18.257463
9.570000, 18.356081
9.580000, 18.454422
9.590000, 18.552475
9.600000, 18.650228
9.610000, 18.747671
9.620000, 18.844793
9.630000, 18.941583
9.640000, 19.038029
9.650000, 19.134119
9.660000, 19.229844
9.670000, 19.325190
9.680000, 19.420148
9.690000, 19.514704
9.700000, 19.608847
9.710000, 19.702566
9.720000, 19.795849
9.730000, 19.888684
9.740000, 19.981058
9.750000, 20.072960
9.760000, 20.164378
9.770000, 20.255300
9.780000, 20.345712
9.790000, 20.435604
9.800000, 20.524962
9.810000, 20.613774
9.820000, 20.702028
9.830000, 20.789711
9.840000, 20.876810
9.850000, 20.963313
9.860000, 21.049207
9.870000, 21.134479
9.880000, 21.219116
9.890000, 21.303105
9.900000, 21.386434
9.910000, 21.469089
9.920000, 21.551056
9.930000, 21.632324
9.940000, 21.712878
9.950000, 21.792706
9.960000, 21.871794
9.970000, 21.950128
9.980000, 22.027696
9.990000, 22.104484
10.000000, 22.180478
10.010000, 22.255664
10.020000, 22.330030
10.030000, 22.403562
10.040000, 22.476245
10.050000, 22.548066
10.060000, 22.619012
10.070000, 22.689068
10.080000, 22.758221
10.090000, 22.826457
10.100000, 22.893762
10.110000, 22.960122
10.120000, 23.025524
10.130000, 23.089952
10.140000, 23.153394
10.150000, 23.215834
10.160000, 23.277260
10.170000, 23.337658
10.180000, 23.397012
10.190000, 23.455309
10.200000, 23.512535
10.210000, 23.568675
10.220000, 23.623717
10.230000, 23.677645
10.240000, 23.730445
10.250000, 23.782104
10.260000, 23.832607
10.270000, 23.881939
10.280000, 23.930088
10.290000, 23.977039
10.300000, 24.022777
10.310000, 24.067289
10.320000, 24.110561
10.330000, 24.152578
10.340000, 24.193326
10.350000, 24.232792
10.360000, 24.270962
10.370000, 24.307821
10.380000, 24.343356
10.390000, 24.377552
10.400000, 24.410396
10.410000, 24.441874
10.420000, 24.471972
10.430000, 24.500677
10.440000, 24.527975
10.450000, 24.553852
10.460000, 24.578294
10.470000, 24.601288
10.480000, 24.622821
10.490000, 24.642879
10.500000, 24.661449
10.510000, 24.678517
10.520000, 24.694071
10.530000, 24.708097
10.540000, 24.720582
10.550000, 24.731513
10.560000, 24.740878
10.570000, 24.748663
10.580000, 24.754856
10.590000, 24.759444
10.600000, 24.762415
10.610000, 24.763757
10.620000, 24.763456
10.630000, 24.761502
10.640000, 24.757881
10.650000, 24.752582
10.660000, 24.745593
10.670000, 24.736903
10.680000, 24.726500
10.690000, 24.714373
10.700000, 24.700509
10.710000, 24.684899
10.720000, 24.667532
10.730000, 24.648395
10.740000, 24.627480
10.750000, 24.604774
10.760000, 24.580269
10.770000, 24.553954
10.780000, 24.525818
10.790000, 24.495853
10.800000, 24.464048
10.810000, 24.430394
10.820000, 24.394883
10.830000, 24.357504
10.840000, 24.318250
10.850000, 24.277112
10.860000, 24.234080
10.870000, 24.189148
10.880000, 24.142308
10.890000, 24.093551
10.900000, 24.042871
10.910000, 23.990259
10.920000, 23.935710
10.930000, 23.879217
10.940000, 23.820773
10.950000, 23.760372
10.960000, 23.698008
10.970000, 23.633676
10.980000, 23.567371
10.990000, 23.499087
11.000000, 23.428821
11.010000, 23.356567
11.020000, 23.282321
11.030000, 23.206081
11.040000, 23.127842
11.050000, 23.047601
11.060000, 22.965356
11.070000, 22.881105
11.080000, 22.794845
11.090000, 22.706575
11.100000, 22.616294
11.110000, 22.524000
11.120000, 22.429693
11.130000, 22.333374
11.140000, 22.235041
11.150000, 22.134697
11.160000, 22.032342
11.170000, 21.927978
11.180000, 21.821607
11.190000, 21.713230
11.200000, 21.602852
11.210000, 21.490475
11.220000, 21.376102
11.230000, 21.259739
11.240000, 21.141391
11.250000, 21.021061
11.260000, 20.898756
11.270000, 20.774482
11.280000, 20.648246
11.290000, 20.520056
11.300000, 20.389918
11.310000, 20.257841
11.320000, 20.123834
11.330000, 19.987906
11.340000, 19.850068
11.350000, 19.710329
11.360000, 19.568702
11.370000, 19.425197
11.380000, 19.279828
11.390000, 19.132606
11.400000, 18.983546
11.410000, 18.832662
11.420000, 18.679968
11.430000, 18.525481
11.440000, 18.369216
11.450000, 18.211189
11.460000, 18.051420
11.470000, 17.889925
11.480000, 17.726724
11.490000, 17.561836
11.500000, 17.395282
11.510000, 17.227082
11.520000, 17.057259
11.530000, 16.885836
11.540000, 16.712834
11.550000, 16.538280
11.560000, 16.362197
11.570000, 16.184611
11.580000, 16.005548
11.590000, 15.825037
11.600000, 15.643106
11.610000, 15.459782
11.620000, 15.275097
11.630000, 15.089081
11.640000, 14.901766
11.650000, 14.713184
11.660000, 14.523368
11.670000, 14.332354
11.680000, 14.140176
11.690000, 13.946871
11.700000, 13.752476
11.710000, 13.557028
11.720000, 13.360568
11.730000, 13.163136
11.740000, 12.964772
11.750000, 12.765518
11.760000, 12.565419
11.770000, 12.364518
11.780000, 12.162861
11.790000, 11.960493
11.800000, 11.757464
11.810000, 11.553820
11.820000, 11.349612
11.830000, 11.144892
11.840000, 10.939710
11.850000, 10.734120
11.860000, 10.528176
11.870000, 10.321934
11.880000, 10.115451
11.890000, 9.908784
11.900000, 9.701993
11.910000, 9.495138
11.920000, 9.288281
11.930000, 9.081485
11.940000, 8.874813
11.950000, 8.668333
11.960000, 8.462109
11.970000, 8.256212
11.980000, 8.050710
11.990000, 7.845674
12.000000, 7.641177
12.010000, 7.437292
12.020000, 7.234094
12.030000, 7.031661
12.040000, 6.830070
12.050000, 6.629400
12.060000, 6.429732
12.070000, 6.231150
12.080000, 6.033736
12.090000, 5.837577
12.100000, 5.642760
12.110000, 5.449373
12.120000, 5.257505
12.130000, 5.067251
12.140000, 4.878701
12.150000, 4.691952
12.160000, 4.507101
12.170000, 4.324245
12.180000, 4.143484
12.190000, 3.964921
12.200000, 3.788659
12.210000, 3.614803
12.220000, 3.443459
12.230000, 3.274738
12.240000, 3.108748
12.250000, 2.945603
12.260000, 2.785417
12.270000, 2.628305
12.280000, 2.474386
12.290000, 2.323779
12.300000, 2.176605
12.310000, 2.032989
12.320000, 1.893055
12.330000, 1.756932
12.340000, 1.624748
12.350000, 1.496636
12.360000, 1.372727
12.370000, 1.253159
12.380000, 1.138067
12.390000, 1.027593
12.400000, 0.921877
12.410000, 0.821063
12.420000, 0.725298
12.430000, 0.634728
12.440000, 0.549505
12.450000, 0.469780
12.460000, 0.395709
12.470000, 0.327447
12.480000, 0.265155
12.490000, 0.208992
12.500000, 0.159124
12.510000, 0.115715
12.520000, 0.078935
12.530000, 0.048953
12.540000, 0.025942
12.550000, 0.010078
12.560000, 0.001538
12.570000, 0.000503
12.580000, 0.007155
12.590000, 0.021679
12.600000, 0.044263
12.610000, 0.075096
12.620000, 0.114371
12.630000, 0.162283
12.640000, 0.219031
12.650000, 0.284813
12.660000, 0.359833
12.670000, 0.444296
12.680000, 0.538411
12.690000, 0.642387
