v_alpha, I_out_I
1.223000, 192.515392
1.224000, 192.503225
1.225000, 192.491047
1.226000, 192.478860
1.227000, 192.466663
1.228000, 192.454457
1.229000, 192.442241
1.230000, 192.430015
1.231000, 192.417780
1.232000, 192.405534
1.233000, 192.393279
1.234000, 192.381015
1.235000, 192.368741
1.236000, 192.356457
1.237000, 192.344163
1.238000, 192.331860
1.239000, 192.319547
1.240000, 192.307224
1.241000, 192.294892
1.242000, 192.282549
1.243000, 192.270198
1.244000, 192.257836
1.245000, 192.245465
1.246000, 192.233084
1.247000, 192.220694
1.248000, 192.208294
1.249000, 192.195884
1.250000, 192.183464
1.251000, 192.171035
1.252000, 192.158596
1.253000, 192.146148
1.254000, 192.133690
1.255000, 192.121222
1.256000, 192.108744
1.257000, 192.096257
1.258000, 192.083760
1.259000, 192.071253
1.260000, 192.058737
1.261000, 192.046211
1.262000, 192.033676
1.263000, 192.021130
1.264000, 192.008575
1.265000, 191.996011
1.266000, 191.983437
