v_alpha, I_out_I
0.843000, -3.567823
0.844000, -3.576268
0.845000, -3.584722
0.846000, -3.593186
0.847000, -3.601660
0.848000, -3.610144
0.849000, -3.618637
0.850000, -3.627141
0.851000, -3.635654
0.852000, -3.644178
0.853000, -3.652711
0.854000, -3.661254
0.855000, -3.669807
0.856000, -3.678370
0.857000, -3.686943
0.858000, -3.695526
0.859000, -3.704118
0.860000, -3.712721
0.861000, -3.721333
0.862000, -3.729955
0.863000, -3.738588
0.864000, -3.747230
0.865000, -3.755882
0.866000, -3.764543
0.867000, -3.773215
0.868000, -3.781897
0.869000, -3.790588
0.870000, -3.799289
0.871000, -3.808000
0.872000, -3.816721
0.873000, -3.825452
0.874000, -3.834193
0.875000, -3.842944
0.876000, -3.851704
0.877000, -3.860475
0.878000, -3.869255
0.879000, -3.878045
0.880000, -3.886846
0.881000, -3.895655
0.882000, -3.904475
0.883000, -3.913305
0.884000, -3.922145
0.885000, -3.930994
0.886000, -3.939853
0.887000, -3.948723
0.888000, -3.957602
0.889000, -3.966491
0.890000, -3.975389
0.891000, -3.984298
0.892000, -3.993217
0.893000, -4.002145
0.894000, -4.011083
0.895000, -4.020031
0.896000, -4.028990
0.897000, -4.037957
0.898000, -4.046935
0.899000, -4.055923
0.900000, -4.064920
0.901000, -4.073928
0.902000, -4.082945
0.903000, -4.091972
0.904000, -4.101009
0.905000, -4.110056
0.906000, -4.119112
0.907000, -4.128179
0.908000, -4.137255
0.909000, -4.146342
0.910000, -4.155438
0.911000, -4.164544
0.912000, -4.173660
0.913000, -4.182785
0.914000, -4.191921
0.915000, -4.201067
0.916000, -4.210222
0.917000, -4.219387
0.918000, -4.228562
0.919000, -4.237747
0.920000, -4.246942
0.921000, -4.256146
0.922000, -4.265361
0.923000, -4.274585
0.924000, -4.283819
0.925000, -4.293063
0.926000, -4.302317
0.927000, -4.311581
0.928000, -4.320854
0.929000, -4.330138
0.930000, -4.339431
0.931000, -4.348734
0.932000, -4.358047
0.933000, -4.367370
0.934000, -4.376703
0.935000, -4.386045
0.936000, -4.395398
0.937000, -4.404760
